short_name;longitude;latitude
G3-0487;33.08043;2.94634
G3-0488;33.08043;2.94634
G3-0489;33.08043;2.94634
G3-0491;33.07119;3.0387
G3-0492;33.07119;3.0387
G3-0493;33.07119;3.0387
G3-0494;33.07119;3.0387
G3-0496;33.07119;3.0387
G3-0497;33.07119;3.0387
G3-0498;33.00944;3.01221
G3-0499;33.00944;3.01221
G3-0500;33.00944;3.01221
G3-0504;33.06567;2.98782
G3-0505;33.06567;2.98782
G4-0566;32.71893;2.00925
G4-0567;32.71893;2.00925
G4-0568;32.71893;2.00925
G4-0569;32.71893;2.00925
G4-0570;32.71893;2.00925
G4-0572;32.71893;2.00925
G4-0573;32.71893;2.00925
G4-0574;32.71893;2.00925
G4-0575;32.71893;2.00925
G4-0576;32.78894;2.0024
G4-0577;32.78894;2.0024
G4-0578;32.78894;2.0024
G4-0579;32.78894;2.0024
G4-0580;32.78894;2.0024
G4-0582;32.81759;2.01242
G4-0583;32.81759;2.01242
G4-0584;32.81759;2.01242
G4-0585;32.81759;2.01242
G5-0606;33.02948;1.68033
G5-0607;33.02948;1.68033
G5-0609;33.02948;1.68033
G5-0610;33.02948;1.68033
G5-0611;33.07471;1.68619
G5-0612;33.07471;1.68619
G5-0613;33.07471;1.68619
G5-0614;33.07471;1.68619
G5-0615;33.07471;1.68619
G5-0616;33.08713;1.69651
G5-0617;33.08713;1.69651
G5-0618;33.08713;1.69651
G5-0619;33.08713;1.69651
G5-0620;33.08713;1.69651
G5-0621;32.86412;1.71331
G5-0622;32.86412;1.71331
G5-0623;32.86412;1.71331
G5-0625;32.86412;1.71331
G6-0546;32.77333;1.19425
G6-0547;32.77333;1.19425
G6-0548;32.77333;1.19425
G6-0549;32.77333;1.19425
G6-0551;32.77155;1.10034
G6-0552;32.77155;1.10034
G6-0553;32.77155;1.10034
G6-0554;32.77155;1.10034
G6-0555;32.77155;1.10034
G6-0556;32.73141;1.10025
G6-0558;32.73141;1.10025
G6-0559;32.73141;1.10025
G6-0560;32.73141;1.10025
G6-0561;32.76132;1.18822
G6-0563;32.76132;1.18822
G6-0564;32.76132;1.18822
G6-0565;32.76132;1.18822
G7-0029;32.99828;0.37269
G7-0030;32.99828;0.37269
G7-0031;32.99828;0.37269
G7-0032;32.99828;0.37269
G7-0033;32.97924;0.19149
G7-0034;32.97924;0.19149
G7-0035;32.97924;0.19149
G7-0036;32.97924;0.19149
G7-0038;32.97924;0.19149
G7-0039;32.97924;0.19149
G7-0040;32.97924;0.19149
G7-0041;33.12765;0.63145
G7-0042;33.12765;0.63145
G7-0043;33.12765;0.63145
G7-0044;33.12765;0.63145
G7-0046;33.16823;0.64643
G7-0047;33.16823;0.64643
G7-0051;33.12106;0.61905
H2-0418;33.46838;3.40943
H2-0421;33.46838;3.40943
H2-0425;33.48622;3.55361
H2-0431;33.47214;3.39326
H2-0432;33.47214;3.39326
H2-0433;33.47214;3.39326
H3-0450;33.656794;2.70009
H3-0451;33.656794;2.70009
H3-0454;33.75225;2.82619
H3-0460;33.73854;2.81939
H3-0463;33.76822;2.82788
H3-0464;33.76822;2.82788
H3-0465;33.76822;2.82788
H4-0859;33.78317;2.36653
H4-0860;33.78317;2.36653
H4-0862;33.78317;2.36653
H4-0864;33.47195;2.14746
